"Statistic Label","Month","Dwelling Status","Eircode Output","Stamp Duty Event","Type of Buyer","UNIT","VALUE"
"Volume of Sales","2010 July","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","748"
"Volume of Sales","2010 July","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","507"
"Volume of Sales","2010 July","Existing","All","Executions","Household Buyer - Non-Occupier","Number","169"
"Volume of Sales","2010 August","All Dwelling Statuses","All","Filings","All Buyer Types","Number","1953"
"Volume of Sales","2010 August","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","1088"
"Volume of Sales","2010 August","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","625"
"Volume of Sales","2010 August","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","240"
"Volume of Sales","2010 August","All Dwelling Statuses","All","Executions","All Buyer Types","Number","1653"
"Volume of Sales","2010 August","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","906"
"Volume of Sales","2010 August","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","548"
"Volume of Sales","2010 August","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","199"
"Volume of Sales","2010 August","New","All","Filings","All Buyer Types","Number","535"
"Volume of Sales","2010 August","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","316"
"Volume of Sales","2010 August","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","151"
"Volume of Sales","2010 August","New","All","Filings","Household Buyer - Non-Occupier","Number","68"
"Volume of Sales","2010 August","New","All","Executions","All Buyer Types","Number","400"
"Volume of Sales","2010 August","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","236"
"Volume of Sales","2010 August","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","112"
"Volume of Sales","2010 August","New","All","Executions","Household Buyer - Non-Occupier","Number","52"
"Volume of Sales","2010 August","Existing","All","Filings","All Buyer Types","Number","1418"
"Volume of Sales","2010 August","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","772"
"Volume of Sales","2010 August","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","474"
"Volume of Sales","2010 August","Existing","All","Filings","Household Buyer - Non-Occupier","Number","172"
"Volume of Sales","2010 August","Existing","All","Executions","All Buyer Types","Number","1253"
"Volume of Sales","2010 August","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","670"
"Volume of Sales","2010 August","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","436"
"Volume of Sales","2010 August","Existing","All","Executions","Household Buyer - Non-Occupier","Number","147"
"Volume of Sales","2010 September","All Dwelling Statuses","All","Filings","All Buyer Types","Number","1898"
"Volume of Sales","2010 September","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","987"
"Volume of Sales","2010 September","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","654"
"Volume of Sales","2010 September","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","257"
"Volume of Sales","2010 September","All Dwelling Statuses","All","Executions","All Buyer Types","Number","1687"
"Volume of Sales","2010 September","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","872"
"Volume of Sales","2010 September","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","601"
"Volume of Sales","2010 September","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","214"
"Volume of Sales","2010 September","New","All","Filings","All Buyer Types","Number","516"
"Volume of Sales","2010 September","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","276"
"Volume of Sales","2010 September","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","161"
"Volume of Sales","2010 September","New","All","Filings","Household Buyer - Non-Occupier","Number","79"
"Volume of Sales","2010 September","New","All","Executions","All Buyer Types","Number","417"
"Volume of Sales","2010 September","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","237"
"Volume of Sales","2010 September","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","127"
"Volume of Sales","2010 September","New","All","Executions","Household Buyer - Non-Occupier","Number","53"
"Volume of Sales","2010 September","Existing","All","Filings","All Buyer Types","Number","1382"
"Volume of Sales","2010 September","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","711"
"Volume of Sales","2010 September","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","493"
"Volume of Sales","2010 September","Existing","All","Filings","Household Buyer - Non-Occupier","Number","178"
"Volume of Sales","2010 September","Existing","All","Executions","All Buyer Types","Number","1270"
"Volume of Sales","2010 September","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","635"
